appId,privacy_policy_url,pp_category,propositions,top5_similar_apps,icl_description,KB
bokf.ib.android.market.bok,https://www.bankofoklahoma.com/Legal-and-Privacy/Privacy-Policy,LOCATION,"[{""proposition 1"": ""We collect limited location information, such as geo-location, to help users find nearby ATMs.""}, {""proposition 2"": ""Your geographic location may be inferred from the IP address of the device you use to access our online services.""}, {""proposition 3"": ""When interacting through Mobile Access, we collect information about your location, including unique device identifiers and device settings.""}, {""proposition 4"": ""With your permission, we may collect precise geo-location information through our Mobile Access service.""}, {""proposition 5"": ""Location information may be used to personalize advertisements or offers based on where you bank.""}, {""proposition 6"": ""We may use location data as part of online behavioral advertising to deliver ads tailored to your geographic area.""}, {""proposition 7"": ""Location information can influence the advertisements presented to you by considering your banking location and account types.""}, {""proposition 8"": ""(Conjecture) We might use location data to provide localized content or services relevant to your geographic area.""}, {""proposition 9"": ""(Conjecture) Your location data could help improve our service efficiency or provide more accurate customer support.""}]","[[""air.com.nbcuni.com.nbcsports.liveextra"", 0.6375385825810367], [""at.payback.client.android"", 0.6303508192184308], [""and.lihuhu.findmatch"", 0.629712144004165], [""air.com.nbcuni.com.telemundo.envivo"", 0.6245617388667422], [""app.com.brd"", 0.6226455345379591]]",,0
br.com.mobiltec.c4m.android.agent,https://admin.cloud4mobile.com.br/Account/TermsOfUse,LOCATION,"[{""proposition 1"": ""The app automatically collects mobile device location history if the user configures it.""}, {""proposition 2"": ""Location data may be used to determine the whereabouts of a mobile device on specific days and times.""}, {""proposition 3"": ""The app stores and processes collected location data in databases in Brazil, in compliance with Brazilian data protection laws.""}, {""proposition 4"": ""(Location data may be used to enhance app features such as location-based notifications or alerts.) [Conjecture]""}, {""proposition 5"": ""(Location tracking could support features like geofencing, providing users with content or services relevant to their current location.) [Conjecture]""}, {""proposition 6"": ""(Location history might be utilized for generating reports or analytics on user movement patterns over time.) [Conjecture]""}, {""proposition 7"": ""(Collected location data could be used to improve security measures by verifying the authenticity of a user's location when accessing the app.) [Conjecture]""}, {""proposition 8"": ""(Location information might be shared with third-party services for purposes such as mapping or location-based advertising.) [Conjecture]""}]","[[""and.lihuhu.findmatch"", 0.7123971217079864], [""app.udChalo.flights"", 0.7069983263705246], [""air.com.A3dtuning.Tuning3D"", 0.7000136546682737], [""app.fortunebox"", 0.6976900010924924], [""air.com.arm_enterprises.supersoccer.england2014"", 0.6960444201039321]]",,0
br.com.rodrigokolb.electropads,http://www.kolbapps.com/privacy_policy_android.pdf,MICROPHONE,"[{""proposition 1"": ""1. The app may use microphone access to capture audio input for interactive lessons or tutorials. (Conjecture)""}, {""proposition 2"": ""2. Microphone data might be utilized to facilitate voice commands or voice-activated features within the app. (Conjecture)""}, {""proposition 3"": ""3. The app could use microphone input to enable a hands-free mode, allowing for easier navigation of its services. (Conjecture)""}, {""proposition 4"": ""4. Microphone access may be required to record audio for user-generated content or feedback submissions. (Conjecture)""}, {""proposition 5"": ""5. The app might utilize microphone data to enhance voice recognition accuracy for personalized user experiences. (Conjecture)""}, {""proposition 6"": ""6. Microphone data can be employed to analyze ambient sound for noise adjustment or sound optimization features. (Conjecture)""}, {""proposition 7"": ""7. Microphone usage might be involved in detecting and processing audio signals for augmented reality experiences within the app. (Conjecture)""}, {""proposition 8"": ""8. The app may require microphone access for real-time audio processing in gameplay or interactive environments. (Conjecture)""}, {""proposition 9"": ""9. Microphone data might be used to support live communication features, such as in-app voice calls or conferencing. (Conjecture)""}, {""proposition 10"": ""10. The app could potentially use microphone access to support audio-based search functionalities. (Conjecture)""}]","[[""air.RTE.OSMF.Minimal"", 0.7820855296342188], [""br.com.voeazul"", 0.7730573823834714], [""arab.dating.app.ahlam.net"", 0.7631087799082847], [""bass.booster.equalizer.music"", 0.7614332422399738], [""al.myvodafone.android"", 0.7603572879559408]]",,0
br.com.rodrigokolb.realbass,http://www.kolbapps.com/privacy_policy_android.pdf,MICROPHONE,"[{""proposition 1"": ""The app may use microphone data to enable audio recording features for creating and saving music tracks. (Conjecture)""}, {""proposition 2"": ""Microphone data might be used to facilitate real-time audio input for music lessons or tutorials within the app. (Conjecture)""}, {""proposition 3"": ""The app could utilize microphone access to allow users to participate in live audio interactions, such as jam sessions or collaborative music creation. (Conjecture)""}, {""proposition 4"": ""Microphone data may be analyzed to enhance the app's performance by adjusting sound levels or providing feedback on audio quality. (Conjecture)""}, {""proposition 5"": ""The app may use microphone input to detect and respond to voice commands, allowing users to control app functionalities hands-free. (Conjecture)""}, {""proposition 6"": ""Microphone access might be necessary for features that allow users to test and tune musical instruments through the app. (Conjecture)""}, {""proposition 7"": ""If the app includes a social feature, microphone data could be used for voice messaging or audio sharing between users. (Conjecture)""}, {""proposition 8"": ""The app might use microphone data to facilitate audio effects, such as applying filters or modifying the sound of recorded music. (Conjecture)""}, {""proposition 9"": ""Microphone data could be employed for sound recognition features, identifying instruments or musical notes as they are played. (Conjecture)""}]","[[""bass.booster.equalizer.music"", 0.7744696138607043], [""cam.sweet.selfie.effect.camera"", 0.739232483622433], [""chatrandom.com"", 0.7315287517500837], [""cn.voilet.musicplaypro"", 0.7314022293664028], [""chat.ola.vn"", 0.7252610010804538]]",,0
ca.bell.selfserve.mybellmobile,http://bell.ca/privacypolicy,STORAGE,"[{""proposition 1"": ""The app may transfer and store personal information with suppliers and agents operating outside of Canada.""}, {""proposition 2"": ""Personal information stored outside of Canada is subject to the laws of the respective countries.""}, {""proposition 3"": ""The app implements safeguards meeting Canadian standards when transferring personal information outside of Canada.""}, {""proposition 4"": ""Personal information is retained only as long as necessary for the identified purposes or as required by law.""}, {""proposition 5"": ""Personal information may be stored for extended periods for tax, financial record keeping, security, fraud prevention, and business operations management.""}, {""proposition 6"": ""Once personal information is no longer needed, it is destroyed, erased, or de-identified.""}, {""proposition 7"": ""(Proposition based on conjecture) The app may use cloud storage services that are located in different countries to enhance data accessibility and redundancy.""}, {""proposition 8"": ""(Proposition based on conjecture) Data stored for fraud prevention may involve analyzing storage data to detect patterns indicative of fraudulent activities.""}, {""proposition 9"": ""(Proposition based on conjecture) The app may use storage data to generate analytics and reports for business operation improvements while adhering to privacy laws.""}, {""proposition 10"": ""(Proposition based on conjecture) The app might allow users to access and manage their stored personal information via an online portal or app interface.""}]","[[""air.kazi"", 0.5940566740768543], [""ai.bohemian.multipolls"", 0.5733567197761404], [""air.com.bigwigmedia.hotdogbush"", 0.5682674004328068], [""ae.gov.dha.covid19"", 0.5608835556922285], [""aepsapp.paisanikal.com.aepsandroid"", 0.5603992982120123]]",,0
cctv.bohlamp.app,https://nexuswall.net/application/privacypolicy?id=cctvbohlam,STORAGE,"[{""proposition 1"": ""NW Apps does not claim ownership of client data stored or processed through its service, implying users have control over their storage data.""}, {""proposition 2"": ""NW Apps is not liable for the content of personal data stored on its servers, indicating users are responsible for the nature of the data they keep.""}, {""proposition 3"": ""Users are solely responsible for how they collect, handle, disclose, or process their stored data, suggesting independence in data management.""}, {""proposition 4"": ""NW Apps may retain submitted information for purposes such as backups and archiving, indicating storage data might be used for data recovery operations.""}, {""proposition 5"": ""Data retention for fraud prevention suggests storage data could be analyzed to identify and mitigate fraudulent activities.""}, {""proposition 6"": ""Storage data may be kept to fulfill legal obligations, implying potential use in legal compliance and regulatory reporting.""}, {""proposition 7"": ""The Data Controller employs robust security measures to safeguard storage data from unauthorized access, highlighting a focus on data protection.""}, {""proposition 8"": ""Data processing is conducted with IT tools and follows procedures closely related to the app\u2019s purposes, suggesting that storage data is processed systematically and securely.""}, {""proposition 9"": ""Data processing occurs at the Data Controller's facilities and other relevant locations, indicating geographical considerations in storage data handling.""}, {""proposition 10"": ""Storage data is retained as long as necessary to deliver the requested service, suggesting it may be automatically deleted once the service is fulfilled unless otherwise stated.""}, {""proposition 11"": ""Users have the right to request suspension or removal of their storage data, indicating user control over data lifecycle.""}, {""proposition 12"": ""(Conjecture) Storage data might be used to enhance user experience by analyzing usage patterns and preferences.""}, {""proposition 13"": ""(Conjecture) The app might use storage data to improve its services by evaluating aggregated user data for insights.""}, {""proposition 14"": ""(Conjecture) Storage data could be involved in personalized content delivery, leveraging stored user preferences to tailor experiences.""}, {""proposition 15"": ""(Conjecture) The app might use storage data in troubleshooting and support, accessing logs and user data to resolve issues.""}]","[[""air.de.sponsorads.sieben"", 0.6439355978450105], [""air.jp.globalgear.kaihi2"", 0.6416094325276509], [""air.kazi"", 0.6409156708261136], [""ae.etisalat.smiles"", 0.6369338776151839], [""app.feelsy"", 0.6250682754625732]]",,0
co.bonx.go,http://bonx.co/en/privacy/,MICROPHONE,"[{""proposition 1"": ""1. The app may use microphone data to facilitate voice commands for hands-free operation. (Conjecture)""}, {""proposition 2"": ""2. Microphone data might be used to enable voice chat or communication features within the app, such as during gaming or collaborative activities. (Conjecture)""}, {""proposition 3"": ""3. The app could utilize microphone access to provide voice recognition services for enhanced user interaction. (Conjecture)""}, {""proposition 4"": ""4. Microphone data may be employed in functionalities that involve audio recording or playback, such as creating or sharing voice notes. (Conjecture)""}, {""proposition 5"": ""5. Microphone access might be necessary for the app's video calling or conferencing features to capture audio. (Conjecture)""}, {""proposition 6"": ""6. The app could use microphone data in conjunction with location services to provide context-aware features or notifications based on ambient sound. (Conjecture)""}, {""proposition 7"": ""7. Microphone data might be analyzed to improve the app's performance or to develop new features based on user interaction with sound. (Conjecture)""}, {""proposition 8"": ""8. The app may require microphone access to facilitate voice-based search functionalities, allowing users to search for content using voice input. (Conjecture)""}, {""proposition 9"": ""9. Microphone data might be leveraged to enable audio feedback or alerts, providing users with auditory notifications or responses. (Conjecture)""}, {""proposition 10"": ""10. The app could use microphone access to integrate with third-party services or devices that rely on voice input or sound recognition. (Conjecture)""}]","[[""appinventor.ai_raton029.Aria"", 0.7782098503143088], [""br.com.grupoboticario.boticariorepresentante"", 0.7750902018818331], [""al.myvodafone.android"", 0.7726183414038413], [""ae.damanhealth.daman"", 0.7662192305744638], [""air.RTE.OSMF.Minimal"", 0.7641660778033851]]",,0
co.infinum.ptvtruck,https://www.truckparkingeurope.com/privacy-statement/,LOCATION,"[{""proposition 1"": ""1. The app may collect your location data via GPS to provide you with the service of locating available truck parking spots near you.""}, {""proposition 2"": ""2. Consent will be required from the user before collecting any location data from their device.""}, {""proposition 3"": ""3. Location data may be necessary for the app to perform its services effectively, such as facilitating bookings for truck parking through the mobile application.""}, {""proposition 4"": ""4. (Conjecture) The app might use location data to optimize the user experience by suggesting the nearest truck parking options based on real-time location.""}, {""proposition 5"": ""5. (Conjecture) Location data could be utilized to provide route guidance to the selected truck parking area.""}, {""proposition 6"": ""6. Location data collected might be transferred outside the European Economic Area for technical and operational reasons, with assurances of data protection.""}, {""proposition 7"": ""7. Users have the right to view, change, or request the deletion of their location data collected by the app.""}, {""proposition 8"": ""8. Security measures are in place to protect the location data from unauthorized access and misuse.""}]","[[""au.com.optus.selfservice"", 0.6881588980492397], [""app.udChalo.flights"", 0.6798462170094595], [""at.payback.client.android"", 0.6768589203942982], [""ae.gov.adnoc"", 0.6744409886129518], [""aanavandi.services"", 0.6727458369344583]]",,0
com.abclocal.wpvi.news,http://corporate.disney.go.com/corporate/pp.html,LOCATION,"[{""proposition 1"": ""The app may use precise or approximate location information to enhance user experience within the app or on its associated platforms.""}, {""proposition 2"": ""Location data might be used to provide location-based services or recommendations while users interact with the app or website.""}, {""proposition 3"": ""The app could utilize location information from users' devices to offer personalized content or offers when they visit physical properties like stores or theme parks.""}, {""proposition 4"": ""Location data may be collected through beacon technologies when users are near or within the app's physical properties.""}, {""proposition 5"": ""The app might use the location associated with a user's IP address to tailor services or information based on geographic region.""}, {""proposition 6"": ""User location data could be processed to improve customer support or services when users call reservation centers or guest service numbers.""}, {""proposition 7"": ""The app may rely on location data to facilitate the registration process, especially if users link profiles from third-party platforms.""}, {""proposition 8"": ""The app could transfer location information globally within The Walt Disney Family of Companies to enhance service delivery or for business operations.""}, {""proposition 9"": ""Location data might be shared with third parties for analytics or marketing purposes, provided it's consistent with applicable legal requirements.""}, {""proposition 10"": ""Conjecture: The app may use location information to send notifications or alerts relevant to the user's current location or travel plans.""}, {""proposition 11"": ""Conjecture: The app might leverage location data to improve navigation or wayfinding within large physical properties, such as theme parks or resorts.""}, {""proposition 12"": ""Conjecture: Location information could be utilized for security purposes, such as ensuring safety protocols are followed within physical venues.""}]","[[""at.payback.client.android"", 0.7180928300324556], [""app.udChalo.flights"", 0.7149514867608285], [""at.bluesource.mobilepocket"", 0.702805264111267], [""au.com.optus.selfservice"", 0.7020753950682762], [""air.com.nbcuni.com.nbcsports.liveextra"", 0.6987454313631354]]",,0
com.accessunited,https://www.accessunited.com/sites/default/files/2017/United%20Bank%20Privacy%20Policies.pdf,LOCATION,"[{""proposition 1"": ""1. (Conjecture) The app may use location data to identify and prevent fraudulent transactions based on unusual geographical activity.""}, {""proposition 2"": ""2. (Conjecture) Location information might be utilized to provide users with the nearest branch or ATM locations.""}, {""proposition 3"": ""3. (Conjecture) The app could leverage location data to verify the legitimacy of a user's login attempt by checking if it aligns with their typical access patterns.""}, {""proposition 4"": ""4. (Conjecture) Geolocation could be used to offer location-based alerts and notifications, such as nearby bank offers or security advisories.""}, {""proposition 5"": ""5. (Conjecture) Location services might help tailor the user experience by suggesting localized financial products or services based on the user's region.""}, {""proposition 6"": ""6. (Conjecture) The app could employ location data to enhance customer service by directing users to the nearest available customer support representative.""}]","[[""app.com.brd"", 0.7381472308070203], [""air.app.scb.breeze.android.main.sg.prod"", 0.691098325329746], [""au.com.nab.mobile"", 0.6869833308494281], [""ar.com.bancar.uala"", 0.6837005475358515], [""air.funmily.KillerFlashMobile"", 0.6825121938373073]]",,0
